Chl Qy		Tm
1	MG	-0.000539
2	CHA	-0.098740
3	CHB	0.038161
4	CHC	0.144781
5	CHD	-0.055665
6	NA	-0.019975
7	C1A	0.091033
8	C2A	0.058238
9	C3A	-0.045163
10	C4A	-0.068532
11	CMA	0.005778
12	CAA	-0.038688
13	CBA	0.021444
14	CGA	-0.005978
15	O1A	0.001860
16	O2A	0.000250
17	NB	0.073301
18	C1B	-0.056242
19	C2B	-0.016068
20	C3B	-0.008541
21	C4B	-0.129903
22	CMB	-0.010441
23	CAB	0.012716
24	CBB	-0.024510
25	NC	0.022642
26	C1C	-0.142248
27	C2C	0.025888
28	C3C	-0.034601
29	C4C	0.063623
30	CMC	0.004380
31	CAC	0.004531
32	CBC	-0.007760
33	ND	-0.051063
34	C1D	0.059268
35	C2D	0.046314
36	C3D	0.017702
37	C4D	0.075741
38	CMD	0.003805
39	CAD	-0.011682
40	OBD	0.021738
41	CBD	0.040092
42	CGD	-0.015688
43	O1D	0.004485
44	O2D	-0.004597
45	CED	0.008505
46	C1	0.000307
47	C2	0.000000
48	C3	0.000000
49	C4	0.000000
50	C5	0.000000
51	C6	0.000000
52	C7	0.000000
53	C8	0.000000
54	C9	0.000000
55	C10	0.000000
56	C11	0.000000
57	C12	0.000000
58	C13	0.000000
59	C14	0.000000
60	C15	0.000000
61	C16	0.000000
62	C17	0.000000
63	C18	0.000000
64	C19	0.000000
65	C20	0.000000
