Chlc2 anion Qx		Tm
1	NB	0.040111
2	ND	-0.023352
3	C1A	-0.070564
4	C1B	-0.161254
5	C1C	0.029710
6	C1D	0.158077
7	C2A	-0.007483
8	C2B	0.019080
9	C2C	0.020429
10	C2D	-0.042492
11	C3A	0.034517
12	C3B	-0.032222
13	C3C	0.016069
14	C3D	0.023385
15	C4A	-0.167797
16	C4B	0.062154
17	C4C	0.130537
18	C4D	-0.094520
19	CAA	0.002848
20	CAB	0.014921
21	CAC	-0.021927
22	CAD	0.019001
23	CBA	-0.017274
24	CBB	-0.024109
25	CBC	0.017060
26	CBD	-0.052271
27	CED	-0.001102
28	CGA	0.009178
29	CGD	0.009657
30	CHA	0.132235
31	CHB	0.208394
32	CHC	-0.057348
33	CHD	-0.187540
34	CMA	-0.005809
35	CMB	-0.003436
36	CMC	0.001826
37	CMD	-0.001665
38	NA	0.093010
39	NC	-0.080166
40	O1A	-0.004213
41	O1D	0.000821
42	O2A	-0.007052
43	O2D	0.006330
44	OBD	0.010748
45	MG	0.003532
