Diadino S2 DFT		Tm
1	C	0.007856
2	C1	-0.137570
3	C10	-0.060507
4	C11	0.109520
5	C12	-0.000017
6	C13	-0.028896
7	C14	0.068307
8	C15	-0.017825
9	C16	-0.005361
10	C17	0.008792
11	C18	-0.002618
12	C19	0.009786
13	C2	0.106402
14	C20	0.006476
15	C21	0.003623
16	C22	0.005416
17	C23	0.007534
18	C24	0.089625
19	C25	-0.109563
20	C26	0.070486
21	C27	-0.119887
22	C28	-0.001969
23	C29	0.044183
24	C3	-0.111558
25	C30	-0.067429
26	C31	0.016824
27	C32	0.000841
28	C33	0.000184
29	C34	-0.005059
30	C35	-0.014400
31	C36	-0.036976
32	C37	-0.007604
33	C4	0.115558
34	C40	-0.005196
35	C41	-0.006902
36	C5	-0.098781
37	C6	0.136616
38	C7	-0.006260
39	C8	-0.078522
40	C9	0.107961
41	O1	0.007113
42	O2	0.006897
43	O4	-0.007015
