Chl Qx		Tm
1	MG	-0.013463
2	CHA	-0.119680
3	CHB	-0.148464
4	CHC	0.105464
5	CHD	0.166988
6	NA	-0.098200
7	C1A	0.060729
8	C2A	-0.002923
9	C3A	0.004481
10	C4A	0.090317
11	CMA	-0.000095
12	CAA	-0.004135
13	CBA	0.004850
14	CGA	-0.000136
15	O1A	-0.000784
16	O2A	-0.001022
17	NB	-0.002084
18	C1B	0.137312
19	C2B	-0.021579
20	C3B	0.033656
21	C4B	-0.087466
22	CMB	0.004221
23	CAB	-0.015151
24	CBB	0.023621
25	NC	0.083612
26	C1C	-0.055970
27	C2C	-0.026021
28	C3C	0.004165
29	C4C	-0.126188
30	CMC	0.000791
31	CAC	0.009287
32	CBC	-0.005930
33	ND	0.022910
34	C1D	-0.129303
35	C2D	0.040689
36	C3D	-0.018765
37	C4D	0.082802
38	CMD	0.001422
39	CAD	-0.014303
40	OBD	-0.009080
41	CBD	0.040783
42	CGD	-0.014738
43	O1D	-0.000543
44	O2D	-0.000516
45	CED	-0.001006
46	C1	-0.000594
47	C2	0.000000
48	C3	0.000000
49	C4	0.000000
50	C5	0.000000
51	C6	0.000000
52	C7	0.000000
53	C8	0.000000
54	C9	0.000000
55	C10	0.000000
56	C11	0.000000
57	C12	0.000000
58	C13	0.000000
59	C14	0.000000
60	C15	0.000000
61	C16	0.000000
62	C17	0.000000
63	C18	0.000000
64	C19	0.000000
65	C20	0.000000
