Diadino S1		Tm
1	C	0.001524
2	C1	0.000842
3	C10	-0.007371
4	C11	0.020512
5	C12	-0.007919
6	C13	-0.001239
7	C14	0.000386
8	C15	0.003424
9	C16	-0.001918
10	C17	-0.000011
11	C18	0.000197
12	C19	-0.000446
13	C2	0.000702
14	C20	-0.000536
15	C21	0.000607
16	C22	0.000175
17	C23	0.000906
18	C24	-0.019441
19	C25	0.015153
20	C26	-0.008242
21	C27	0.020075
22	C28	-0.007964
23	C29	-0.000622
24	C3	-0.006060
25	C30	0.002288
26	C31	0.001618
27	C32	-0.001962
28	C33	-0.000137
29	C34	0.000038
30	C35	0.000654
31	C36	0.000377
32	C37	-0.000155
33	C4	-0.004716
34	C40	0.000332
35	C41	0.000507
36	C5	0.000955
37	C6	-0.000676
38	C7	0.002173
39	C8	-0.017049
40	C9	0.013438
41	O1	-0.000258
42	O2	0.000042
43	O4	-0.000096
