Chlc2 anion Qy		Tm
1	NB	0.072394
2	ND	-0.066298
3	C1A	0.145680
4	C1B	-0.011537
5	C1C	-0.144195
6	C1D	0.055297
7	C2A	-0.037839
8	C2B	-0.021324
9	C2C	0.008853
10	C2D	0.040257
11	C3A	0.033620
12	C3B	0.001116
13	C3C	-0.028117
14	C3D	0.026205
15	C4A	-0.061588
16	C4B	-0.148735
17	C4C	0.073582
18	C4D	0.085366
19	CAA	0.000190
20	CAB	0.004749
21	CAC	0.015186
22	CAD	-0.036711
23	CBA	-0.008069
24	CBB	-0.011178
25	CBC	-0.021827
26	CBD	0.084796
27	CED	0.007810
28	CGA	0.001444
29	CGD	-0.017407
30	CHA	-0.183129
31	CHB	0.019418
32	CHC	0.190268
33	CHD	-0.071745
34	CMA	0.001386
35	CMB	-0.004050
36	CMC	0.006824
37	CMD	0.001758
38	NA	-0.032140
39	NC	0.026941
40	O1A	-0.002317
41	O1D	0.001052
42	O2A	-0.002292
43	O2D	-0.013490
44	OBD	0.017390
45	MG	0.002344
