Fuco S1		Tm
1	C	-0.000636
2	O	0.000830
3	C1	-0.001636
4	C10	0.011022
5	C11	-0.016888
6	C12	0.005773
7	C13	0.002659
8	C14	-0.005285
9	C15	0.007139
10	C16	-0.007148
11	C17	0.000774
12	C18	0.000125
13	C19	0.000804
14	C2	-0.001969
15	C20	-0.003683
16	C21	0.001112
17	C22	0.000956
18	C23	0.002802
19	C24	0.014190
20	C25	-0.013951
21	C26	0.005963
22	C27	-0.017126
23	C28	0.006247
24	C29	-0.001667
25	C3	0.007143
26	C30	0.000936
27	C31	-0.004320
28	C32	0.003348
29	C33	0.000024
30	C34	-0.000017
31	C35	-0.000539
32	C36	0.001995
33	C37	-0.000219
34	C38	0.000224
35	C39	-0.000064
36	C4	0.000472
37	C40	-0.000700
38	C41	-0.001111
39	C5	0.005439
40	C6	-0.007804
41	C7	-0.000671
42	C8	0.022358
43	C9	-0.016501
44	O1	0.000232
45	O2	-0.000135
46	O3	-0.000507
47	O4	-0.000061
48	O5	-0.000017
