Fuco S2 DFT		Tm
1	C	-0.006408
2	O	-0.032752
3	C1	+0.139755
4	C10	+0.059708
5	C11	-0.097426
6	C12	-0.010559
7	C13	-0.007230
8	C14	-0.019202
9	C15	0.012739
10	C16	0.000328
11	C17	-0.002435
12	C18	-0.001078
13	C19	-0.003117
14	C2	-0.100089
15	C20	-0.000759
16	C21	-0.000445
17	C22	-0.006526
18	C23	0.002036
19	C24	-0.085608
20	C25	0.116297
21	C26	-0.067905
22	C27	0.111090
23	C28	0.000576
24	C29	-0.010547
25	C3	0.111672
26	C30	0.015779
27	C31	0.030843
28	C32	-0.023925
29	C33	0.019732
30	C34	0.000507
31	C35	0.014613
32	C36	-0.016465
33	C37	0.009745
34	C38	-0.000673
35	C39	0.004599
36	C4	-0.112632
37	C40	0.010977
38	C41	0.013311
39	C5	0.097931
40	C6	-0.129465
41	C7	0.005871
42	C8	0.069493
43	C9	-0.108760
44	O1	-0.009174
45	O2	-0.005652
46	O3	0.011361
47	O4	-0.005162
48	O5	0.005040
